log_id,training_set,deletion_percentage,training_set_size,highest_recall,iter_highest_recall,iter_recall_90,iter_recall_95,initial_recall,last_recall,highest_precision,iter_highest_precision,iter_precision_90,iter_precision_95,initial_precision,last_precision,number_of_AL_iter,cases_per_iter,total_number_labeled_cases,approach,num_traces_log,num_events_log,num_activities_model,num_constraints_norm,num_constraints_audit,labeled_population,perc_anomalies_in_population,perc_anomalies_in_sample
3,25,0.25,41,0.729957805907173,10,,,0.6347517730496454,0.7241379310344828,1.0,1,1.0,1.0,1.0,1.0,11,5,46,1,10000,114897,17,10,4,5662,0.05,0.024390243902439
3,25,0.5,116,0.75,1,,,0.75,0.75,1.0,1,1.0,1.0,1.0,1.0,11,5,121,1,10000,114897,17,10,4,159,0.05,0.0344827586206896
3,25,0.75,65,0.6666666666666666,1,,,0.6666666666666666,0.6666666666666666,1.0,1,1.0,1.0,1.0,1.0,11,5,70,1,10000,114897,17,10,5,128,0.05,0.0461538461538461
3,26,0.25,148,0.9301310043668122,11,10.0,,0.8351254480286738,0.9301310043668122,1.0,1,1.0,1.0,1.0,1.0,11,5,153,1,10000,114897,17,10,4,5662,0.05,0.027027027027027
3,26,0.5,98,0.75,1,,,0.75,0.0,1.0,1,1.0,1.0,1.0,0.0,11,5,103,1,10000,114897,17,10,4,159,0.05,0.0408163265306122
3,27,0.25,75,0.8369565217391305,2,,,0.8362989323843416,0.8008658008658008,1.0,1,1.0,1.0,1.0,1.0,11,5,80,1,10000,114897,17,10,4,5662,0.05,0.0266666666666666
3,28,0.25,66,0.8392857142857143,1,,,0.8392857142857143,0.8043478260869565,1.0,1,1.0,1.0,1.0,1.0,11,5,71,1,10000,114897,17,10,4,5662,0.05,0.0454545454545454
3,28,0.5,85,0.6666666666666666,1,,,0.6666666666666666,0.6666666666666666,1.0,1,1.0,1.0,1.0,1.0,11,5,90,1,10000,114897,17,10,4,159,0.05,0.0588235294117647
3,28,0.75,52,0.75,1,,,0.75,0.75,1.0,1,1.0,1.0,1.0,1.0,11,5,57,1,10000,114897,17,10,5,128,0.05,0.0384615384615384
3,29,0.25,114,0.8602620087336245,11,,,0.8387096774193549,0.8602620087336245,1.0,1,1.0,1.0,1.0,1.0,11,5,119,1,10000,114897,17,10,4,5662,0.05,0.0350877192982456
3,30,0.5,93,0.75,1,,,0.75,0.0,1.0,1,1.0,1.0,1.0,0.0,11,5,98,1,10000,114897,17,10,4,159,0.05,0.043010752688172
3,30,0.75,36,0.6,1,,,0.6,0.6,1.0,1,1.0,1.0,1.0,1.0,11,5,41,1,10000,114897,17,10,5,128,0.05,0.0277777777777777
3,31,0.25,140,0.9155555555555556,11,10.0,,0.8363636363636363,0.9155555555555556,1.0,1,1.0,1.0,1.0,1.0,11,5,145,1,10000,114897,17,10,4,5662,0.05,0.0571428571428571
